product_id,date_anchor,product_code,product_name,family,stock_anchor,seuil_minimum,avg_exit_7d,avg_exit_30d,trend_exit_14d,volatility_exit_30d,entries_14d,exits_14d,days_since_last_entry,stock_to_threshold_ratio,days_cover_estimate,supplier_lead_time_days,current_stock,target_consommation_7d,target_consommation_14d,data_source
69946da4bc1b710da1fee4e9,2025-11-20,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-21,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-22,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-23,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-24,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-25,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-26,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-27,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-28,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-29,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-11-30,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-01,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-02,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-03,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-04,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-05,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-06,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-07,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-08,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-09,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-10,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-11,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-12,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-13,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-14,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-15,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-16,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
69946da4bc1b710da1fee4e9,2025-12-17,PRD-2026-0003,Auto Produit 1771335076463,economat,0,2,0,0,0,0,0,0,999,0,0,0,25,0,0,real
